Course offering ID,Semester,P/F,Max students,
PACE099,S17,enter later,12,
FS101A,S17,enter later,14,
FS101B,S17,enter later,14,
FS101C,S17,enter later,14,
FS101D,S17,enter later,14,
FS101E,S17,enter later,14,
FS101F,S17,enter later,14,
FS101G,S17,enter later,14,
FS101H,S17,enter later,14,
FS101I,S17,enter later,14,
FS101J,S17,enter later,14,
FS101K,S17,enter later,14,
FS101L,S17,enter later,14,
AFAM209,S17,enter later,8,
AFAM309,S17,enter later,7,
AFAM302,S17,enter later,15,
ANTH227,S17,enter later,15,
ANTH317,S17,enter later,15,
LING218,S17,enter later,15,
ARTH102,S17,enter later,15,
ARTH220,S17,enter later,8,
ARTH320,S17,enter later,7,
ARTH306,S17,enter later,15,
PHIL227,S17,enter later,15,
ARTS211,S17,enter later,8,
ARTS311,S17,enter later,7,
WS218M2,S17,enter later,20,
BIO100,S17,enter later,30,
BIO100LA,S17,enter later,15,
BIO100LB,S17,enter later,15,
BIO201,S17,enter later,30,
BIO201LA,S17,enter later,15,
BIO201LB,S17,enter later,15,
BIO276,S17,enter later,18,
BIO303,S17,enter later,15,
BIO312,S17,enter later,12,
CHEM101A,S17,enter later,15,
CHEM101B,S17,enter later,15,
CHEM101C,S17,enter later,15,
CHEM101LA,S17,enter later,20,
CHEM101LB,S17,enter later,20,
CHEM101LC,S17,enter later,10,
CHEM303,S17,enter later,12,
COM203M1,S17,enter later,12,
COM204M2,S17,enter later,12,
CMPT100,S17,enter later,20,
CMPT220,S17,enter later,12,
CMPT242,S17,enter later,20,
CMPT243,S17,enter later,15,
CMPT353,S17,enter later,15,
CMPT364,S17,enter later,15,
DANC101,S17,enter later,10,
DANC201,S17,enter later,10,
DANC108,S17,enter later,15,
DANC114,S17,enter later,10,
DANC214,S17,enter later,10,
DANC126,S17,enter later,6,
DANC127,S17,enter later,6,
DANC230,S17,enter later,6,
DANC330,S17,enter later,6,
DANC240,S17,enter later,4,
DANC340,S17,enter later,4,
DANC440,S17,enter later,4,
ECON101,S17,enter later,15,
ECON204,S17,enter later,15,
ECON240,S17,enter later,8,
ENVS107M2,S17,enter later,15,
ENVS110M1,S17,enter later,15,
ENVS112M2,S17,enter later,12,
