Id,semester,Classroom,,,
PACE099,S18,TBD,,,
FS101A,S18,CL1-02,,,
FS101B,S18,CL1-04,,,
FS101C,S18,CL1-04,,,
FS101D,S18,DAC-125,,,
FS101E,S18,CL1-04,,,
FS101F,S18,CL3-10,,,
FS101G,S18,DAC-135,,,
FS101H,S18,LIE-01,,,
FS101I,S18,CL3-13,,,
FS101J,S18,CL3-14,,,
FS101K,S18,DAC-128,,,
FS101L,S18,CL3-10,,,
AFAM209,S18,CL1-03,,,
AFAM309,S18,CL1-03,,,
AFAM302,S18,CL3-09,,,
ANTH227,S18,CL1-03,,,
ANTH317,S18,LIE-01,,,
LING218,S18,CL3-14,,,
ARTH102,S18,DAC-125,,,
ARTH220,S18,DAC-125,,,
ARTH320,S18,DAC-125,,,
ARTH306,S18,DAC-125,,,
PHIL227,S18,CL1-02,,,
ARTS211,S18,DAC-139,,,
ARTS311,S18,DAC-139,,,
WS218M2,S18,CL3-09,,,
BIO100,S18,FSH-102,,,
BIO100LA,S18,FSH-202,,,
BIO100LB,S18,FSH-202,,,
BIO201,S18,FSH-102,,,
BIO201LA,S18,FSH-202,,,
BIO201LB,S18,FSH-202,,,
BIO276,S18,TBD,,,
BIO303,S18,FSH-211,,,
BIO312,S18,CL1-02,,,
CHEM101A,S18,FSH-102,,,
CHEM101B,S18,FSH-102,,,
CHEM101C,S18,FSH-102,,,
CHEM101LA,S18,FSH-128,,,
CHEM101LB,S18,FSH-128,,,
CHEM101LC,S18,FSH-128,,,
CHEM303,S18,TBD,,,
COM203M1,S18,DAC-139,,,
COM204M2,S18,DAC-139,,,
CMPT100,S18,FSH-201,,,
CMPT220,S18, FSH-,,,
CMPT242,S18,FSH-102,,,
CMPT243,S18,FSH-112,,,
CMPT353,S18,FSH-112,,,
CMPT364,S18,FSH-112,,,
DANC101,S18,DAC-108,,,
DANC201,S18,DAC-108,,,
DANC108,S18,DAC-108,,,
DANC114,S18,DAC-108,,,
DANC214,S18,DAC-108,,,
DANC126,S18,DAC-116,,,
DANC127,S18,DAC-116,,,
DANC230,S18,DAC-108,,,
DANC330,S18,DAC-108,,,
DANC240,S18,DAC-108,,,
DANC340,S18,DAC-108,,,
DANC440,S18,DAC-108,,,
ECON101,S18,CL3-09,,,
ECON204,S18,CL3-09,,,
ECON240,S18,DAC-128,,,
ENVS107M2,S18,FSH-211,,,
ENVS110M1,S18,FSH-113,,,
ENVS112M2,S18,FSH-113,,,
ENVS208M1,S18,FSH-211,,,
ENVS215,S18,TBD,,,
ENVS315,S18,TBD,,,
FILM231,S18,DAC-125,,,
FILM331,S18,DAC-125,,,
FILM241,S18,DAC-120,,,
FILM341,S18,DAC-120,,,
WS213,S18,CL3-09,,,
GEOG229,S18,LIE-01,,,
GEOG328,S18,LIE-01,,,
