Classroom,capacity,,,
 FSH-,20,,,
 KLG,20,,,
 LIB-LSR,20,,,
 LIE-DS,20,,,
 LIV-INFL,20,,,
CL1-01,20,,,
CL1-02,20,,,
CL1-03,20,,,
CL1-04,20,,,
CL3-09,20,,,
CL3-10,20,,,
CL3-11,20,,,
CL3-13,20,,,
CL3-14,20,,,
DAC-002,20,,,
DAC-011,20,,,
DAC-025,20,,,
DAC-028,20,,,
DAC-072,20,,,
DAC-074,20,,,
DAC-108,20,,,
DAC-116,20,,,
DAC-120,20,,,
DAC-124,20,,,
DAC-125,20,,,
DAC-128,20,,,
DAC-135,20,,,
DAC-139,20,,,
FSH-102,20,,,
FSH-112,20,,,
FSH-113,20,,,
FSH-128,20,,,
FSH-201,20,,,
FSH-202,20,,,
FSH-211,20,,,
LIE-01,20,,,
LIE-02,20,,,
TBD,20,,,
